sep=;
type;sourcename;sourceversion;device;unit;creationdate;startdate;enddate;value
HKQuantityTypeIdentifierBasalEnergyBurned;Denizhan iPhone (2);16.3;<<HKDevice: 0x2837f7f20>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,7, software:16.3>;kcal;2023-04-27 17:48:42 +0300;2023-04-27 17:08:41 +0300;2023-04-27 17:46:21 +0300;46.418
HKQuantityTypeIdentifierBasalEnergyBurned;Denizhan iPhone (2);16.3;<<HKDevice: 0x2837f7f20>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,7, software:16.3>;kcal;2023-04-27 18:02:32 +0300;2023-04-27 17:46:21 +0300;2023-04-27 17:47:03 +0300;0.84
HKQuantityTypeIdentifierBasalEnergyBurned;Denizhan iPhone (2);16.3;<<HKDevice: 0x2837f7f20>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,7, software:16.3>;kcal;2023-04-27 18:57:33 +0300;2023-04-27 17:47:03 +0300;2023-04-27 18:47:03 +0300;73.911
HKQuantityTypeIdentifierBasalEnergyBurned;Denizhan iPhone (2);16.3;<<HKDevice: 0x2837f7f20>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,7, software:16.3>;kcal;2023-04-27 19:13:17 +0300;2023-04-27 18:47:03 +0300;2023-04-27 19:01:59 +0300;19.797
HKQuantityTypeIdentifierBasalEnergyBurned;Denizhan iPhone (2);16.3;<<HKDevice: 0x2837f7f20>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,7, software:16.3>;kcal;2023-04-27 19:13:17 +0300;2023-04-27 19:01:59 +0300;2023-04-27 19:03:57 +0300;2.924
HKQuantityTypeIdentifierBasalEnergyBurned;Denizhan iPhone (2);16.3;<<HKDevice: 0x2837f7f20>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,7, software:16.3>;kcal;2023-04-27 19:20:21 +0300;2023-04-27 19:03:57 +0300;2023-04-27 19:09:56 +0300;9.504
HKQuantityTypeIdentifierBasalEnergyBurned;Denizhan iPhone (2);16.3;<<HKDevice: 0x2837f7f20>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,7, software:16.3>;kcal;2023-04-27 19:25:56 +0300;2023-04-27 19:09:56 +0300;2023-04-27 19:22:12 +0300;15.716
HKQuantityTypeIdentifierBasalEnergyBurned;Denizhan iPhone (2);16.3;<<HKDevice: 0x2837f7f20>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,7, software:16.3>;kcal;2023-04-27 19:37:55 +0300;2023-04-27 19:22:12 +0300;2023-04-27 19:36:18 +0300;19.632
HKQuantityTypeIdentifierBasalEnergyBurned;Denizhan iPhone (2);16.3;<<HKDevice: 0x2837f7f20>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,7, software:16.3>;kcal;2023-04-27 19:54:34 +0300;2023-04-27 19:36:18 +0300;2023-04-27 19:53:36 +0300;21.313
HKQuantityTypeIdentifierBasalEnergyBurned;Denizhan iPhone (2);16.3;<<HKDevice: 0x2837f7f20>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,7, software:16.3>;kcal;2023-04-27 20:10:02 +0300;2023-04-27 19:53:36 +0300;2023-04-27 19:53:46 +0300;0.21
HKQuantityTypeIdentifierBasalEnergyBurned;Denizhan iPhone (2);16.3;<<HKDevice: 0x2837f7f20>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,7, software:16.3>;kcal;2023-04-27 20:31:13 +0300;2023-04-27 19:53:46 +0300;2023-04-27 20:24:43 +0300;38.109
HKQuantityTypeIdentifierBasalEnergyBurned;Denizhan iPhone (2);16.3;<<HKDevice: 0x2837f7f20>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,7, software:16.3>;kcal;2023-04-27 20:43:50 +0300;2023-04-27 20:24:43 +0300;2023-04-27 20:30:11 +0300;6.734
HKQuantityTypeIdentifierBasalEnergyBurned;Denizhan iPhone (2);16.3;<<HKDevice: 0x2837f7f20>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,7, software:16.3>;kcal;2023-04-27 20:56:52 +0300;2023-04-27 20:30:11 +0300;2023-04-27 20:44:43 +0300;18.695
HKQuantityTypeIdentifierBasalEnergyBurned;Denizhan iPhone (2);16.3;<<HKDevice: 0x2837f7f20>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,7, software:16.3>;kcal;2023-04-27 21:03:31 +0300;2023-04-27 20:44:43 +0300;2023-04-27 20:58:41 +0300;19.736
HKQuantityTypeIdentifierBasalEnergyBurned;Denizhan iPhone (2);16.3;<<HKDevice: 0x2837f7f20>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,7, software:16.3>;kcal;2023-04-27 21:16:20 +0300;2023-04-27 20:58:41 +0300;2023-04-27 21:09:35 +0300;13.885
HKQuantityTypeIdentifierBasalEnergyBurned;Denizhan iPhone (2);16.3;<<HKDevice: 0x2837f7f20>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,7, software:16.3>;kcal;2023-04-27 21:26:15 +0300;2023-04-27 21:09:35 +0300;2023-04-27 21:20:36 +0300;14.039
HKQuantityTypeIdentifierBasalEnergyBurned;Denizhan iPhone (2);16.3;<<HKDevice: 0x2837f7f20>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,7, software:16.3>;kcal;2023-04-27 21:35:54 +0300;2023-04-27 21:20:36 +0300;2023-04-27 21:35:13 +0300;18.53
HKQuantityTypeIdentifierBasalEnergyBurned;Denizhan iPhone (2);16.3;<<HKDevice: 0x2837f7f20>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,7, software:16.3>;kcal;2023-04-27 21:52:57 +0300;2023-04-27 21:35:13 +0300;2023-04-27 21:51:35 +0300;20.558
HKQuantityTypeIdentifierBasalEnergyBurned;Denizhan iPhone (2);16.3;<<HKDevice: 0x2837f7f20>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,7, software:16.3>;kcal;2023-04-27 22:08:24 +0300;2023-04-27 21:51:35 +0300;2023-04-27 22:05:13 +0300;17.255
HKQuantityTypeIdentifierBasalEnergyBurned;Denizhan iPhone (2);16.3;<<HKDevice: 0x2837f7f20>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,7, software:16.3>;kcal;2023-04-27 22:21:52 +0300;2023-04-27 22:05:13 +0300;2023-04-27 22:16:35 +0300;14.463
HKQuantityTypeIdentifierBasalEnergyBurned;Denizhan iPhone (2);16.3;<<HKDevice: 0x2837f7f20>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,7, software:16.3>;kcal;2023-04-27 22:31:59 +0300;2023-04-27 22:16:35 +0300;2023-04-27 22:31:40 +0300;18.714
HKQuantityTypeIdentifierBasalEnergyBurned;Denizhan iPhone (2);16.3;<<HKDevice: 0x2837f7f20>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,7, software:16.3>;kcal;2023-04-27 22:46:40 +0300;2023-04-27 22:31:40 +0300;2023-04-27 22:46:19 +0300;18.178
HKQuantityTypeIdentifierBasalEnergyBurned;Denizhan iPhone (2);16.3;<<HKDevice: 0x2837f7f20>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,7, software:16.3>;kcal;2023-04-27 23:05:27 +0300;2023-04-27 22:46:19 +0300;2023-04-27 23:04:55 +0300;23.223
HKQuantityTypeIdentifierBasalEnergyBurned;Denizhan iPhone (2);16.3;<<HKDevice: 0x2837f7f20>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,7, software:16.3>;kcal;2023-04-27 23:22:24 +0300;2023-04-27 23:04:55 +0300;2023-04-27 23:18:27 +0300;19.272
HKQuantityTypeIdentifierBasalEnergyBurned;Denizhan iPhone (2);16.3;<<HKDevice: 0x2837f7f20>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,7, software:16.3>;kcal;2023-04-27 23:53:58 +0300;2023-04-27 23:18:27 +0300;2023-04-27 23:52:00 +0300;41.318
HKQuantityTypeIdentifierBasalEnergyBurned;Denizhan iPhone (2);16.3;<<HKDevice: 0x2837f7f20>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,7, software:16.3>;kcal;2023-04-28 00:09:13 +0300;2023-04-27 23:52:00 +0300;2023-04-27 23:52:10 +0300;0.21
HKQuantityTypeIdentifierBasalEnergyBurned;Denizhan iPhone (2);16.3;<<HKDevice: 0x2837f7f20>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,7, software:16.3>;kcal;2023-04-28 00:11:06 +0300;2023-04-27 23:52:10 +0300;2023-04-28 00:10:53 +0300;23.055
HKQuantityTypeIdentifierBasalEnergyBurned;Denizhan iPhone (2);16.3;<<HKDevice: 0x2837f7f20>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,7, software:16.3>;kcal;2023-04-28 00:30:11 +0300;2023-04-28 00:10:53 +0300;2023-04-28 00:24:39 +0300;17.344
HKQuantityTypeIdentifierBasalEnergyBurned;Denizhan iPhone (2);16.3;<<HKDevice: 0x2837f7f20>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,7, software:16.3>;kcal;2023-04-28 00:45:19 +0300;2023-04-28 00:24:39 +0300;2023-04-28 00:37:20 +0300;16.694
